pod_name,namespace,cpu_request,cpu_limit,memory_request,memory_limit,cpu_usage,memory_usage,node_name,pod_status,restart_count,uptime_seconds,deployment_strategy,scaling_policy,network_bandwidth_usage
pod_0,dev,1.5695415604262677,3.6791523748987336,3174.582782544709,5134.413852441214,3.3454961449767175,2135.3103654478373,node_12,Failed,0,76536,RollingUpdate,Manual,459.01573322070243
pod_1,default,0.3431192821029727,3.7227157472441808,3551.4591733029033,3698.3493662000033,2.758187760089938,7442.200271014058,node_18,Unknown,2,97849,RollingUpdate,Manual,507.7708077585147
pod_2,kube-system,0.24927083171421255,1.318147276872012,1578.313252872322,7418.271121609108,1.3197031994167192,5142.897754392874,node_7,Failed,2,47370,RollingUpdate,Manual,527.7025308333953
pod_3,default,0.31149654391417064,2.8525947514374552,1392.9623718903026,3628.4807049972483,3.7523123887910255,2952.4493307875427,node_20,Failed,6,5685,Recreate,Auto,473.5303146161347
pod_4,default,1.5327751561052982,0.5216176249078914,2660.1926552706336,5091.497751599803,0.8742242179954705,3382.29935539534,node_38,Unknown,3,4502,Recreate,Auto,973.9280801359636
pod_5,prod,1.3218195330189506,2.3641494510099643,2482.6420630117427,5590.519939577594,2.9015982243423277,5052.061408875653,node_28,Succeeded,4,19749,Recreate,Manual,888.5677979028444
pod_6,prod,1.0409349992623593,2.9702027744705704,445.3535746816919,1878.6493219746076,2.9575201302833256,6301.942617862874,node_26,Running,8,87990,RollingUpdate,Auto,930.742110598419
pod_7,kube-system,0.9041375345926803,3.198656369109776,1796.0606071755785,7240.498095389935,1.3106307930212515,1898.337488250656,node_1,Failed,7,10467,RollingUpdate,Auto,349.46048758530833
pod_8,kube-system,0.5926645991280444,3.5587087530901456,1525.6575959837467,5326.313573011893,0.6146767781266216,4393.776139993754,node_19,Failed,7,84398,Recreate,Manual,144.28975491653418
pod_9,prod,0.1180191420101535,1.3521931306611654,2735.6572763932954,1735.0924072350786,2.1493551261758506,5602.480931106476,node_47,Unknown,3,47676,Recreate,Auto,222.94678943503544
pod_10,prod,1.4698897665144508,0.9029259845225881,860.192557508152,1563.443511172229,1.7293575329901256,4519.302317844668,node_6,Running,9,40864,Recreate,Manual,723.0064488492887
pod_11,default,0.9398209214821095,1.1613451723398422,658.0308129868714,6373.698239679009,3.9811470167084515,1864.3576193697163,node_26,Pending,3,77896,RollingUpdate,Auto,431.2604527072189
pod_12,dev,0.8984588769486973,1.6667856433341024,2870.9759651603003,5808.180739908498,3.318025936065785,7075.217690722407,node_15,Running,1,99826,Recreate,Manual,456.0078591371376
